frame; timings; with call
611;219;229;
612;219;229;
613;719;729;
614;643;653;
615;633;643;
616;615;625;
617;670;680;
618;273;283;
619;698;708;
620;679;689;
621;611;621;
622;670;680;
623;237;247;
624;273;283;
625;709;719;
626;732;742;
627;699;709;
628;607;617;
629;670;680;
630;273;283;
631;709;719;
632;654;664;
633;665;675;
634;670;680;
635;237;247;
636;273;283;
637;719;729;
638;611;621;
639;635;645;
640;615;625;
641;670;680;
642;273;283;
643;751;761;
644;766;776;
645;643;653;
646;601;611;
647;237;247;
648;273;283;
649;709;719;
650;732;742;
651;699;709;
652;694;704;
653;601;611;
654;273;283;
655;709;719;
656;679;689;
657;643;653;
658;670;680;
659;237;247;
660;273;283;
661;719;729;
662;698;708;
663;655;665;
664;615;625;
665;670;680;
666;273;283;
667;698;708;
668;679;689;
669;643;653;
670;670;680;
671;237;247;
672;273;283;
673;709;719;
674;732;742;
675;699;709;
676;639;649;
677;670;680;
678;273;283;
679;709;719;
680;766;776;
681;643;653;
682;601;611;
683;237;247;
684;237;247;
685;773;783;
686;643;653;
687;635;645;
688;615;625;
689;670;680;
690;273;283;
691;719;729;
692;711;721;
693;643;653;
694;670;680;
695;237;247;
696;273;283;
697;709;719;
698;560;570;
699;528;538;
700;642;652;
701;583;593;
702;219;229;
703;636;646;
704;611;621;
705;643;653;
706;670;680;
707;237;247;
708;273;283;
709;596;606;
710;567;577;
711;567;577;
712;528;538;
713;528;538;
714;583;593;
715;630;640;
716;528;538;
717;528;538;
718;528;538;
719;583;593;
720;583;593;
721;641;651;
722;567;577;
723;567;577;
724;568;578;
725;528;538;
726;583;593;
727;630;640;
728;567;577;
729;567;577;
730;528;538;
731;583;593;
732;583;593;
733;630;640;
734;567;577;
735;567;577;
736;528;538;
737;528;538;
738;583;593;
739;630;640;
740;567;577;
741;567;577;
742;528;538;
743;583;593;
744;583;593;
745;641;651;
746;567;577;
747;567;577;
748;568;578;
749;583;593;
750;583;593;
751;630;640;
752;567;577;
753;567;577;
754;528;538;
755;583;593;
756;583;593;
757;630;640;
758;567;577;
759;567;577;
760;528;538;
761;583;593;
762;583;593;
763;630;640;
764;567;577;
765;567;577;
766;528;538;
767;583;593;
768;583;593;
769;709;719;
770;499;509;
771;533;543;
772;500;510;
773;193;203;
774;219;229;
775;528;538;
776;219;229;
777;219;229;
778;219;229;
779;219;229;
780;193;203;
781;562;572;
782;533;543;
783;499;509;
784;494;504;
785;219;229;
786;219;229;
787;562;572;
788;219;229;
789;219;229;
790;494;504;
791;219;229;
792;193;203;
793;702;712;
794;562;572;
795;602;612;
796;676;686;
797;615;625;
798;615;625;
799;636;646;
800;651;661;
801;219;229;
802;689;699;
803;601;611;
804;637;647;
805;568;578;
806;219;229;
807;651;661;
808;566;576;
809;528;538;
810;219;229;
811;636;646;
812;596;606;
813;219;229;
814;560;570;
815;670;680;
816;637;647;
817;636;646;
818;651;661;
819;645;655;
820;725;735;
821;617;627;
822;636;646;
823;670;680;
824;685;695;
825;219;229;
826;615;625;
827;583;593;
828;219;229;
829;651;661;
830;528;538;
831;611;621;
832;528;538;
833;583;593;
834;219;229;
835;664;674;
836;651;661;
837;193;203;
838;617;627;
839;219;229;
840;583;593;
841;709;719;
842;617;627;
843;219;229;
844;607;617;
845;306;316;
846;273;283;
847;670;680;
848;651;661;
849;193;203;
850;670;680;
851;237;247;
852;273;283;
853;651;661;
854;583;593;
855;577;587;
856;670;680;
857;237;247;
858;273;283;
859;719;729;
860;651;661;
861;193;203;
862;670;680;
863;237;247;
864;273;283;
865;704;714;
866;651;661;
867;611;621;
868;725;735;
869;649;659;
870;691;701;
871;670;680;
872;738;748;
873;247;257;
874;670;680;
875;237;247;
876;273;283;
877;651;661;
878;528;538;
879;645;655;
880;617;627;
881;583;593;
882;583;593;
883;596;606;
884;596;606;
885;219;229;
886;617;627;
887;306;316;
888;273;283;
889;725;735;
890;617;627;
891;577;587;
892;639;649;
893;219;229;
894;583;593;
895;757;767;
896;739;749;
897;219;229;
898;615;625;
899;583;593;
900;219;229;
901;683;693;
902;528;538;
903;609;619;
904;560;570;
905;583;593;
906;219;229;
907;664;674;
908;651;661;
909;193;203;
910;617;627;
911;306;316;
912;637;647;
913;675;685;
914;683;693;
915;698;708;
916;743;753;
917;649;659;
918;745;755;
919;702;712;
920;651;661;
921;193;203;
922;670;680;
923;237;247;
924;273;283;
925;651;661;
926;583;593;
927;645;655;
928;670;680;
929;273;283;
930;583;593;
931;719;729;
932;685;695;
933;219;229;
934;615;625;
935;583;593;
936;219;229;
937;709;719;
938;704;714;
939;237;247;
940;661;671;
941;306;316;
942;273;283;
943;670;680;
944;651;661;
945;193;203;
946;670;680;
947;237;247;
948;273;283;
949;738;748;
950;637;647;
951;611;621;
952;670;680;
953;273;283;
954;583;593;
955;702;712;
956;685;695;
957;219;229;
958;615;625;
959;583;593;
960;219;229;
961;675;685;
962;651;661;
963;698;708;
964;743;753;
965;649;659;
966;709;719;
967;724;734;
968;738;748;
969;247;257;
970;670;680;
971;237;247;
972;273;283;
973;725;735;
974;651;661;
975;645;655;
976;725;735;
977;649;659;
978;636;646;
979;670;680;
980;596;606;
981;645;655;
982;757;767;
983;562;572;
984;723;733;
985;709;719;
986;562;572;
987;577;587;
988;641;651;
989;583;593;
990;583;593;
991;704;714;
992;596;606;
993;193;203;
994;615;625;
995;670;680;
996;273;283;
997;683;693;
998;583;593;
999;609;619;
1000;615;625;
1001;670;680;
1002;273;283;
1003;719;729;
1004;651;661;
1005;219;229;
1006;615;625;
1007;219;229;
1008;583;593;
1009;725;735;
1010;596;606;
1011;645;655;
1012;725;735;
1013;562;572;
1014;691;701;
1015;725;735;
1016;596;606;
1017;193;203;
1018;528;538;
1019;583;593;
1020;219;229;
1021;596;606;
1022;583;593;
1023;611;621;
1024;617;627;
1025;219;229;
1026;583;593;
1027;664;674;
1028;635;645;
1029;219;229;
1030;617;627;
1031;583;593;
1032;583;593;
1033;702;712;
1034;649;659;
1035;577;587;
1036;607;617;
1037;306;316;
1038;637;647;
1039;670;680;
1040;685;695;
1041;219;229;
1042;615;625;
1043;583;593;
1044;219;229;
1045;669;679;
1046;670;680;
1047;631;641;
1048;615;625;
1049;670;680;
1050;273;283;
1051;719;729;
1052;651;661;
1053;193;203;
1054;615;625;
1055;670;680;
